set,agent,train_Hz,run_Hz,n,completion,mse_mean,mse_std,mse_median,rms_mean,max_mean,max_max,mse_completed_mean,sat_J6
mass,PPO_base,40,10,20,1,0.00127108997273742,0.000177640790976981,0.00122753687113526,0.0355751167514849,0.0470792198726932,0.0557066419496857,0.00127108997273742,0.976744186046511
mass,PPO_base,40,40,20,1,0.000126447977824556,3.85675717452069e-05,0.00010609525933,0.0111388900326703,0.0190510192932519,0.0258855764538838,0.000126447977824556,0.965395894428153
mass,ppo_10hz,10,10,20,1,0.00428706830808107,0.000475610343020662,0.004254639987318,0.0653825002643914,0.188105273321441,0.201815812977485,0.00428706830808107,1
mass,ppo_10hz,10,40,20,1,0.00422793725817574,0.000414900717269858,0.00420014294824712,0.0649499903939204,0.184983387149854,0.19723157356108,0.00422793725817574,1
nominal,CDR2-4,40,10,1,1,0.0040416425367899,0,0.0040416425367899,0.0635739139646908,0.177326158603628,0.177326158603628,0.0040416425367899,1
nominal,CDR2-4,40,40,1,1,0.00346982044332695,0,0.00346982044332695,0.0589051818037,0.173520616130402,0.173520616130402,0.00346982044332695,1
nominal,Optimized,40,10,1,1,0.00449193034739195,0,0.00449193034739195,0.0670218646964701,0.193521471310286,0.193521471310286,0.00449193034739195,0.930232558139535
nominal,Optimized,40,40,1,1,0.00357216047671168,0,0.00357216047671168,0.0597675537119571,0.176134283029457,0.176134283029457,0.00357216047671168,0.909090909090909
nominal,PPO_base,40,10,1,1,0.00127108821680606,0,0.00127108821680606,0.0356523241431194,0.0449618553151863,0.0449618553151863,0.00127108821680606,0.976744186046512
nominal,PPO_base,40,40,1,1,0.000106440815479777,0,0.000106440815479777,0.0103170158224061,0.01816066693487,0.01816066693487,0.000106440815479777,0.967741935483871
nominal,ppo_10hz,10,10,1,1,0.00438438757365865,0,0.00438438757365865,0.0662147081369287,0.190026532289763,0.190026532289763,0.00438438757365865,1
nominal,ppo_10hz,10,40,1,1,0.00431301736669007,0,0.00431301736669007,0.0656735667273377,0.186643987273506,0.186643987273506,0.00431301736669007,1
nominal_6p5kg,ppo_10hz,10,10,1,1,0.00728160478619112,0,0.00728160478619112,0.0853323197047351,0.227813131315852,0.227813131315852,0.00728160478619112,1
nominal_6p5kg,ppo_10hz,10,40,1,1,0.00692043648252265,0,0.00692043648252265,0.0831891608475686,0.221741098200607,0.221741098200607,0.00692043648252265,1
stoch,CDR2-4,40,10,20,1,0.00492280911078994,0.000646050710828281,0.00482019811581156,0.0700234715136775,0.185237135326044,0.201631796106438,0.00492280911078994,0.944186046511628
stoch,CDR2-4,40,40,20,1,0.0037922790716707,0.000349635720016926,0.00380686292171566,0.0615194815500784,0.178654386995789,0.190258840190517,0.0037922790716707,0.952639296187683
stoch,Optimized,40,10,20,1,0.00481449045204464,0.000307742026793635,0.00482785964147607,0.0693526014547208,0.197274068712859,0.204690034205594,0.00481449045204464,0.91046511627907
stoch,Optimized,40,40,20,1,0.00387873428861801,0.000181986270609605,0.00386169552070076,0.0622633232263714,0.182095853554326,0.187253433075518,0.00387873428861801,0.900586510263929
stoch,PPO_base,40,10,20,1,0.00127024354045069,2.13677772419776e-05,0.00126802258373194,0.0356392813525311,0.0450784476228917,0.045471792820742,0.00127024354045069,0.972093023255814
stoch,PPO_base,40,40,20,1,0.000105400667523599,1.65096591444408e-06,0.000105550963067127,0.0102661841816084,0.0176291575608767,0.0180356025180846,0.000105400667523599,0.953079178885631
stoch,ppo_10hz,10,10,20,1,0.00455536089120166,0.00029245153650802,0.00455581908921698,0.0674596271961541,0.191513650208999,0.200521712621127,0.00455536089120166,0.952325581395349
stoch,ppo_10hz,10,40,20,1,0.00446929385073636,0.000169190924051628,0.00449181564400966,0.0668413147399013,0.189800282062882,0.193248331483573,0.00446929385073636,0.959824046920821
